property_type,surface_total_in_m2,borough,lat,lon
house,,Álvaro Obregón,19.346749,-99.23371
apartment,,Benito Juárez,19.370046,-99.146155
apartment,,Iztacalco,19.410307,-99.065399
apartment,,Álvaro Obregón,19.366302,-99.193367
apartment,49.0,Tláhuac,19.2990233,-99.0436467
house,,Venustiano Carranza,19.414261,-99.104118
apartment,,Gustavo A. Madero,19.469681,-99.086136
house,,Xochimilco,19.276775,-99.137883
house,,Gustavo A. Madero,19.516777,-99.160149
house,,Tlalpan,19.281164,-99.20237
house,60.0,Benito Juárez,19.3857490016,-99.1858577728
apartment,165.0,Benito Juárez,21.111325935,-86.7679166794
apartment,,Iztapalapa,19.326462,-99.050933
apartment,,Cuajimalpa de Morelos,23.634501,-102.552788
house,,Álvaro Obregón,19.346949,-99.205196
apartment,,Benito Juárez,19.39177,-99.159996
apartment,202.0,Benito Juárez,19.3977319,-99.1472551
apartment,,Benito Juárez,19.39912,-99.141464
apartment,240.0,Tlalpan,19.3024064,-99.2018433
apartment,,Álvaro Obregón,19.35776,-99.256544
house,230.0,Coyoacán,19.330181,-99.1362979
house,240.0,Tlalpan,19.2865191,-99.2283274
apartment,,Coyoacán,19.358023,-99.171387
apartment,,Gustavo A. Madero,19.494455,-99.127874
apartment,65.0,Miguel Hidalgo,,
house,101.0,Solidaridad,20.6056252733,-87.1102864109
house,,Iztacalco,19.404565,-99.081181
house,,Miguel Hidalgo,19.397059,-99.184501
apartment,0.0,Solidaridad,,
apartment,,Benito Juárez,19.390748,-99.158695
house,,Xochimilco,19.262049,-99.1138
house,,Iztapalapa,19.383512,-99.084804
apartment,,Benito Juárez,,
apartment,46.0,Solidaridad,20.6361578773,-87.0652985573
apartment,0.0,Solidaridad,20.6153928204,-87.0886230469
apartment,,Tláhuac,19.2866062092,-99.0536677837
apartment,,Benito Juárez,19.383952,-99.160229
apartment,,Iztacalco,19.403155,-99.074139
apartment,,Tlalpan,19.282522,-99.145634
house,,Iztapalapa,19.303534,-99.08162
apartment,,Benito Juárez,19.370046,-99.146155
apartment,0.0,Tláhuac,19.2990233,-99.0436467
apartment,56.0,Benito Juárez,19.3707909,-99.1370465
apartment,166.0,Solidaridad,20.6347622491,-87.0636034012
store,220.0,Solidaridad,20.6406691865,-87.0692261244
apartment,,Benito Juárez,19.389773,-99.16221
house,,Álvaro Obregón,19.356901,-99.218987
apartment,,Azcapotzalco,19.469769,-99.157379
apartment,27.0,Benito Juárez,19.3969419643,-99.1522832215
house,,Iztapalapa,19.31725,-99.079622
apartment,,Coyoacán,19.305561,-99.171219
apartment,,Benito Juárez,19.383952,-99.160229
apartment,,Coyoacán,19.348823,-99.125532
apartment,,Álvaro Obregón,19.371342,-99.253616
apartment,,Cuauhtémoc,19.410215,-99.14595
apartment,,Cuauhtémoc,19.422564,-99.154225
apartment,,Benito Juárez,19.369615,-99.168285
apartment,,Benito Juárez,19.403302,-99.14489
apartment,,Cuajimalpa de Morelos,,
apartment,,Tláhuac,19.29707,-99.051074
house,,La Magdalena Contreras,19.317653,-99.236291
apartment,,Coyoacán,,
apartment,148.0,Álvaro Obregón,19.3427817,-99.2232949
apartment,,Benito Juárez,19.367931,-99.170262
apartment,,Benito Juárez,,
house,,Coyoacán,19.334738,-99.176758
house,0.0,Xochimilco,19.2476258059,-99.1310119629
house,,La Magdalena Contreras,19.317653,-99.236291
apartment,64.0,Venustiano Carranza,19.4261250552,-99.0601158142
apartment,0.0,Benito Juárez,21.129547,-86.817017
apartment,0.0,Cuauhtémoc,19.4114169,-99.1739405
apartment,,Coyoacán,19.339707,-99.131065
apartment,,Solidaridad,20.648594,-87.059929
apartment,,Benito Juárez,19.364891,-99.148384
house,120.0,Coyoacán,19.3108788,-99.1386972
apartment,,Cuauhtémoc,19.458464,-99.125423
house,591.0,Cuajimalpa de Morelos,19.3925305,-99.2525927
apartment,0.0,Benito Juárez,21.1112939069,-86.8537816996
apartment,165.0,Cuauhtémoc,19.4097609,-99.1686282
apartment,,Cuauhtémoc,19.405298,-99.164986
apartment,,Cuauhtémoc,,
apartment,,Azcapotzalco,19.478539,-99.151497
house,,Cuajimalpa de Morelos,19.360526,-99.301674
apartment,169.0,Playa del Carmen,20.6295586,-87.0738851
apartment,,Iztapalapa,19.318989,-99.094437
house,,Coyoacán,19.323279,-99.162635
apartment,,Gustavo A. Madero,19.506042,-99.153915
house,,Álvaro Obregón,19.337286,-99.235043
apartment,312.0,Miguel Hidalgo,19.4338054,-99.1922219
apartment,,Miguel Hidalgo,19.444013,-99.202825
apartment,,Solidaridad,20.648594,-87.059929
apartment,90.0,Cuajimalpa de Morelos,,
apartment,,Cuajimalpa de Morelos,19.392937,-99.263313
apartment,,Benito Juárez,19.368544,-99.163605
house,,Benito Juárez,19.358427,-99.148769
house,,Coyoacán,19.347486,-99.128319
apartment,,Cuajimalpa de Morelos,19.3619852,-99.2663861
apartment,0.0,Benito Juárez,19.3957981,-99.1678155
apartment,107.0,Solidaridad,20.65593,-87.05368
apartment,,Miguel Hidalgo,19.400249,-99.177444
apartment,,Coyoacán,19.305561,-99.171219
apartment,,Venustiano Carranza,19.414261,-99.104118
house,,Playa del Carmen,20.620554,-87.077643
apartment,,Cuauhtémoc,19.452245,-99.15589
apartment,0.0,Tulum,20.2114185,-87.4653502
apartment,0.0,Benito Juárez,21.136826,-86.866837
apartment,97.0,Benito Juárez,19.3849579,-99.1598558
apartment,0.0,Cuauhtémoc,19.4170429,-99.1554686
apartment,0.0,Benito Juárez,19.3797151,-99.1677132
apartment,,Benito Juárez,19.372724,-99.137094
apartment,,Iztacalco,19.38445,-99.129917
house,,Solidaridad,20.654925,-87.108498
apartment,247.0,Miguel Hidalgo,19.430456,-99.1889121
apartment,100.0,Miguel Hidalgo,19.4380266,-99.1885632
apartment,105.0,Benito Juárez,19.4028756,-99.1473449
apartment,,Miguel Hidalgo,19.443333,-99.202983
apartment,,Xochimilco,19.267002,-99.127701
apartment,,Benito Juárez,19.366078,-99.141746
apartment,0.0,Benito Juárez,19.3910737,-99.1657372
apartment,54.0,Iztacalco,19.4045899,-99.0601489
apartment,,Cuauhtémoc,19.451781,-99.152476
house,322.0,Benito Juárez,21.1436931,-86.7883947
apartment,,Álvaro Obregón,19.335033,-99.200347
house,,Gustavo A. Madero,19.497346,-99.089531
house,,Coyoacán,23.634501,-102.552788
