property_type,price_aprox_usd,surface_total_in_m2,borough,lat,lon
house,255379.24,,Álvaro Obregón,19.346749,-99.23371
apartment,79029.72,,Benito Juárez,19.370046,-99.146155
apartment,44203.95,,Iztacalco,19.410307,-99.065399
apartment,121788.49,,Álvaro Obregón,19.366302,-99.193367
apartment,24786.91,49.0,Tláhuac,19.2990233,-99.0436467
house,147522.15,,Venustiano Carranza,19.414261,-99.104118
apartment,52159.61,,Gustavo A. Madero,19.469681,-99.086136
house,679655.64,,Xochimilco,19.276775,-99.137883
house,121178.91,,Gustavo A. Madero,19.516777,-99.160149
house,73761.07,,Tlalpan,19.281164,-99.20237
house,316193.86,60.0,Benito Juárez,19.3857490016,-99.1858577728
apartment,350000.0,165.0,Benito Juárez,21.111325935,-86.7679166794
apartment,27012.36,,Iztapalapa,19.326462,-99.050933
apartment,311103.14,,Cuajimalpa de Morelos,23.634501,-102.552788
house,228450.07,,Álvaro Obregón,19.346949,-99.205196
apartment,93333.36,,Benito Juárez,19.39177,-99.159996
apartment,253377.52,202.0,Benito Juárez,19.3977319,-99.1472551
apartment,128506.33,,Benito Juárez,19.39912,-99.141464
apartment,605894.56,240.0,Tlalpan,19.3024064,-99.2018433
apartment,43877.3,,Álvaro Obregón,19.35776,-99.256544
house,163366.83,230.0,Coyoacán,19.330181,-99.1362979
house,156779.46,240.0,Tlalpan,19.2865191,-99.2283274
apartment,168596.74,,Coyoacán,19.358023,-99.171387
apartment,120915.48,,Gustavo A. Madero,19.494455,-99.127874
apartment,88955.87,65.0,Miguel Hidalgo,,
house,70563.93,101.0,Solidaridad,20.6056252733,-87.1102864109
house,262257.51,,Iztacalco,19.404565,-99.081181
house,96943.13,,Miguel Hidalgo,19.397059,-99.184501
apartment,200000.0,0.0,Solidaridad,,
apartment,131716.2,,Benito Juárez,19.390748,-99.158695
house,86191.76,,Xochimilco,19.262049,-99.1138
house,94308.8,,Iztapalapa,19.383512,-99.084804
apartment,166489.28,,Benito Juárez,,
apartment,181809.0,46.0,Solidaridad,20.6361578773,-87.0652985573
apartment,285000.0,0.0,Solidaridad,20.6153928204,-87.0886230469
apartment,26343.24,,Tláhuac,19.2866062092,-99.0536677837
apartment,174140.42,,Benito Juárez,19.383952,-99.160229
apartment,34148.93,,Iztacalco,19.403155,-99.074139
apartment,55333.92,,Tlalpan,19.282522,-99.145634
house,123813.23,,Iztapalapa,19.303534,-99.08162
apartment,79029.72,,Benito Juárez,19.370046,-99.146155
apartment,86383.21,0.0,Tláhuac,19.2990233,-99.0436467
apartment,50052.15,56.0,Benito Juárez,19.3707909,-99.1370465
apartment,565500.0,166.0,Solidaridad,20.6347622491,-87.0636034012
store,171231.07,220.0,Solidaridad,20.6406691865,-87.0692261244
apartment,197574.31,,Benito Juárez,19.389773,-99.16221
house,1264475.61,,Álvaro Obregón,19.356901,-99.218987
apartment,129655.0,,Azcapotzalco,19.469769,-99.157379
apartment,89567.02,27.0,Benito Juárez,19.3969419643,-99.1522832215
house,58771.77,,Iztapalapa,19.31725,-99.079622
apartment,167964.51,,Coyoacán,19.305561,-99.171219
apartment,163854.96,,Benito Juárez,19.383952,-99.160229
apartment,88513.29,,Coyoacán,19.348823,-99.125532
apartment,142516.93,,Álvaro Obregón,19.371342,-99.253616
apartment,44048.85,,Cuauhtémoc,19.410215,-99.14595
apartment,100286.15,,Cuauhtémoc,19.422564,-99.154225
apartment,130697.62,,Benito Juárez,19.369615,-99.168285
apartment,63243.8,,Benito Juárez,19.403302,-99.14489
apartment,331503.35,,Cuajimalpa de Morelos,,
apartment,22022.95,,Tláhuac,19.29707,-99.051074
house,176499.72,,La Magdalena Contreras,19.317653,-99.236291
apartment,80610.32,,Coyoacán,,
apartment,176541.57,148.0,Álvaro Obregón,19.3427817,-99.2232949
apartment,120652.04,,Benito Juárez,19.367931,-99.170262
apartment,192305.66,,Benito Juárez,,
house,134382.39,,Coyoacán,19.334738,-99.176758
house,158059.45,0.0,Xochimilco,19.2476258059,-99.1310119629
house,176499.72,,La Magdalena Contreras,19.317653,-99.236291
apartment,32349.5,64.0,Venustiano Carranza,19.4261250552,-99.0601158142
apartment,650000.0,0.0,Benito Juárez,21.129547,-86.817017
apartment,421591.82,0.0,Cuauhtémoc,19.4114169,-99.1739405
apartment,35718.43,,Coyoacán,19.339707,-99.131065
apartment,370000.0,,Solidaridad,20.648594,-87.059929
apartment,140525.38,,Benito Juárez,19.364891,-99.148384
house,173906.62,120.0,Coyoacán,19.3108788,-99.1386972
apartment,46200.77,,Cuauhtémoc,19.458464,-99.125423
house,1600000.0,591.0,Cuajimalpa de Morelos,19.3925305,-99.2525927
apartment,196172.63,0.0,Benito Juárez,21.1112939069,-86.8537816996
apartment,368892.84,165.0,Cuauhtémoc,19.4097609,-99.1686282
apartment,200208.63,,Cuauhtémoc,19.405298,-99.164986
apartment,125515.01,,Cuauhtémoc,,
apartment,38461.13,,Azcapotzalco,19.478539,-99.151497
house,87682.26,,Cuajimalpa de Morelos,19.360526,-99.301674
apartment,575000.0,169.0,Playa del Carmen,20.6295586,-87.0738851
apartment,158059.45,,Iztapalapa,19.318989,-99.094437
house,118544.58,,Coyoacán,19.323279,-99.162635
apartment,105372.96,,Gustavo A. Madero,19.506042,-99.153915
house,440722.43,,Álvaro Obregón,19.337286,-99.235043
apartment,1886341.0,312.0,Miguel Hidalgo,19.4338054,-99.1922219
apartment,151488.32,,Miguel Hidalgo,19.444013,-99.202825
apartment,286500.0,,Solidaridad,20.648594,-87.059929
apartment,289775.66,90.0,Cuajimalpa de Morelos,,
apartment,519594.1,,Cuajimalpa de Morelos,19.392937,-99.263313
